Q9N4N2,WBGene00022773
H2KZK6,WBGene00019467
Q9TXV4,WBGene00018681
Q9N4T6,WBGene00021151
O01264,WBGene00011908
Q9N437,WBGene00021365
O18207,WBGene00013016
Q8T3B2,WBGene00006594
H2KZB0,WBGene00007007
Q09519,WBGene00017046
Q9BL20,WBGene00021689
Q9GZF1,WBGene00017723
Q95YB7,WBGene00017877
Q95Y37,WBGene00022425
Q9XX28,WBGene00000974
O16196,WBGene00017034
Q65XW9,WBGene00021936
A7DT48,WBGene00043357
H2KYD6,WBGene00017868
O16721,WBGene00020309
Q20633,WBGene00018635
Q7KX58,WBGene00020959
Q20535,WBGene00018546
Q95QX1,WBGene00003961
Q6AW07,WBGene00021461
Q8ITW1,WBGene00019766
P91490,WBGene00020711
Q9BKQ3,WBGene00021344
O45019,WBGene00022518
Q8WTL7,WBGene00021652
Q18447,WBGene00016405
O76710,WBGene00018125
Q22326,WBGene00000739
Q95YE3,WBGene00015643
Q9BKW6,WBGene00022360
O76685,WBGene00015441
H2KYD7,WBGene00006890
Q94284,WBGene00019725
O44570,WBGene00020992
P24891,WBGene00010962
A7WK42,WBGene00044651
P24896,WBGene00010967
Q9N5D0,WBGene00020961
A4UVJ9,WBGene00019439
G5EE85,WBGene00002221
Q20429,WBGene00000271
Q21306,WBGene00000591
Q94174,WBGene00016611
G5EFJ2,WBGene00003085
Q22106,WBGene00020164
B0M0N6,WBGene00000642
Q9TYM7,WBGene00021457
Q9U3C3,WBGene00010537
Q20799,WBGene00010077
H2KZ12,WBGene00000092
P90984,WBGene00015173
Q9BKU0,WBGene00021353
P24893,WBGene00010964
Q20371,WBGene00001016
Q965R0,WBGene00021747
Q4R158,WBGene00043705
Q9N4B8,WBGene00022423
O16672,WBGene00018264
